player,Season,season_type,Team,adv_PER,adv_TS_pct,adv_3PAr,adv_FTr,adv_ORB_pct,adv_DRB_pct,adv_TRB_pct,adv_AST_pct,adv_STL_pct,adv_BLK_pct,adv_TOV_pct,adv_USG_pct,adv_OWS,adv_DWS,adv_WS,adv_WS/48,adv_OBPM,adv_DBPM,adv_BPM,adv_VORP,pg_FG,pg_FGA,pg_FG_pct,pg_3P,pg_3PA,pg_3P_pct,pg_2P,pg_2PA,pg_2P_pct,pg_eFG_pct,pg_FT,pg_FTA,pg_FT_pct,pg_ORB,pg_DRB,pg_TRB,pg_AST,pg_STL,pg_BLK,pg_TOV,pg_PF,pg_PTS,Weighted_BPM,CareerNetRating,ImpactScore,PeakImpactSeason,AgeCurveIndex,Age,Pos,G,GS,MP,clutch_GP,clutch_W,clutch_L,clutch_MIN,clutch_PTS,clutch_FGM,clutch_FGA,clutch_FG_pct,clutch_3PM,clutch_3PA,clutch_3P_pct,clutch_FTM,clutch_FTA,clutch_FT_pct,clutch_OREB,clutch_DREB,clutch_REB,clutch_AST,clutch_TOV,clutch_STL,clutch_BLK,clutch_PF,clutch_FP,clutch_DD2,clutch_TD3,clutch_plus_minus
Giannis Antetokounmpo,2013-14,Regular Season,MIL,10.8,0.518,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15,0.1,1.1,1.2,0.031,-2.4,-0.1,-2.5,-0.2,2.2,5.4,0.414,0.5,1.5,0.347,1.7,3.9,0.44,0.463,1.8,2.6,0.683,1,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8,-4742.5,6.849705121572685,0.1911764705882353,FALSE,0.31486880466472306,19,,77,23,1897,19,4,15,3.2,0.6,0.1,0.3,40,0,0.1,0,0.4,0.8,53.3,0.1,0.5,0.5,0.2,0.1,0.2,0,0.1,1.9,0,0,-2.2
Giannis Antetokounmpo,2014-15,Playoffs,MIL,10.9,0.425,0.014,0.324,5.8,17.3,11.1,14.3,0.8,4,11.9,20.6,-0.2,0.2,0,-0.003,-2.6,0.3,-2.3,0,4.3,11.8,0.366,0,0.2,0,4.3,11.7,0.371,0.366,2.8,3.8,0.739,2,5,7,2.7,0.5,1.5,1.8,3,11.5,-462.3,8.350591715976332,0.080882353,FALSE,0.32831325301204817,20,,6,6,201,3,1,2,3.6,0,0,0.7,0,0,0,0,0,0,0,0.7,0.7,1.3,0,0.3,0,0.7,0.7,3.3,1,0,0.3
Giannis Antetokounmpo,2014-15,Regular Season,MIL,14.8,0.552,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,2.2,4,6.2,0.117,-1.2,1.2,0,1.2,4.7,9.6,0.491,0.1,0.5,0.159,4.6,9.1,0.511,0.496,3.2,4.3,0.741,1.2,5.5,6.7,2.6,0.9,1,2.1,3.1,12.7,0,6.849705121572685,0.6911764705882353,FALSE,0.4314868804664724,20,,81,71,2541,3,1,2,3.6,0,0,0.7,0,0,0,0,0,0,0,0.7,0.7,1.3,0,0.3,0,0.7,0.7,3.3,1,0,0.3
Giannis Antetokounmpo,2015-16,Regular Season,MIL,18.8,0.566,0.108,0.404,4.6,20,12.4,20,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1.3,0.7,2.1,2.9,6.4,12.7,0.506,0.4,1.4,0.257,6.1,11.3,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,5928.3,6.849705121572685,0.8308823529411765,FALSE,0.5481049562682216,21,,80,79,2823,38,19,19,3.5,1.4,0.3,0.8,41.9,0,0.1,33.3,0.7,0.9,76.5,0.1,0.8,0.9,0.3,0.2,0,0.3,0.5,3.7,12,3,-0.4
Giannis Antetokounmpo,2016-17,Playoffs,MIL,21.9,0.563,0.089,0.411,4.6,25.1,14.1,20.6,2.8,4,13.1,29.9,0.1,0.6,0.7,0.138,3.8,2.8,6.6,0.5,10,18.7,0.536,0.7,1.7,0.4,9.3,17,0.549,0.554,4.2,7.7,0.543,1.7,7.8,9.5,4,2.2,1.7,3.3,3.5,24.8,1603.8,8.350591715976332,0.6029411764705883,FALSE,0.6596385542168673,22,,6,6,243,3,0,3,3.3,3,1,2,50,0.3,0.7,50,0.7,1,66.7,0,0.3,0.3,0.7,0,0,0,1,4.4,1,0,-0.7
Giannis Antetokounmpo,2016-17,Regular Season,MIL,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9,20768.5,6.849705121572685,1.6176470588235294,FALSE,0.7609329446064141,22,,80,80,2845,37,20,17,3.5,2.3,0.7,1.7,43.5,0.1,0.2,25,0.8,1.1,68.3,0.2,0.8,1,0.5,0.3,0.1,0.3,0.4,5.2,18,2,-1.1
Giannis Antetokounmpo,2017-18,Playoffs,MIL,26.6,0.62,0.116,0.455,3.7,23.5,14.3,28.2,1.9,1.9,10.5,28.2,1,0.4,1.4,0.239,5.6,1.4,7.1,0.6,9.9,17.3,0.57,0.6,2,0.286,9.3,15.3,0.607,0.587,5.4,7.9,0.691,1.1,8.4,9.6,6.3,1.4,0.9,2.4,4,25.7,1988,8.350591715976332,0.9852941176470589,FALSE,0.8012048192771084,23,,7,7,280,4,2,2,4,5.3,1.8,2,87.5,0,0,0,1.8,2.5,70,0.8,0.3,1,0.8,0.3,0.5,0,1.3,8.8,3,0,-1
Giannis Antetokounmpo,2017-18,Regular Season,MIL,27.3,0.598,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9,17087.2,6.849705121572685,1.6029411764705883,FALSE,0.7959183673469389,23,,75,75,2756,41,23,18,3.7,2.8,1,1.7,58.6,0,0.2,11.1,0.7,1,73.2,0.2,0.9,1.2,0.4,0.2,0.2,0.2,0.5,5.8,27,0,0.7
Giannis Antetokounmpo,2018-19,Playoffs,MIL,26.6,0.572,0.211,0.644,7.3,27.7,17.9,25.1,1.7,5.3,13,32.2,1.2,1.2,2.4,0.226,5,3.4,8.3,1.4,8.6,17.4,0.494,1.2,3.7,0.327,7.4,13.7,0.539,0.529,7.1,11.2,0.637,2.4,9.8,12.2,4.9,1.2,2,3.3,3.2,25.5,4266.200000000001,8.350591715976332,1.2205882352941178,FALSE,0.8012048192771084,24,,15,15,514,5,2,3,4.6,1.8,0.6,1.6,37.5,0.2,0.2,100,0.4,1,40,0.2,1.2,1.4,0.8,0.4,0,0.4,1,5.5,4,0,-1.2
Giannis Antetokounmpo,2018-19,Regular Season,MIL,30.9,0.644,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,6.3,4.1,10.4,7.4,10,17.3,0.578,0.7,2.8,0.256,9.3,14.5,0.641,0.599,6.9,9.5,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,24523.2,6.849705121572685,2.4044117647058822,FALSE,0.9008746355685131,24,,72,72,2358,33,22,11,3.3,2.8,0.9,1.5,62.5,0,0.2,20,0.9,1.5,64.6,0.2,0.8,1,0.5,0.4,0.2,0.1,0.3,5.2,27,1,0.7
