player,award_category
Giannis Antetokounmpo,5 All-Defensive Team
Giannis Antetokounmpo,9 All-NBA
Giannis Antetokounmpo,1 All-Rookie Team
Giannis Antetokounmpo,10 NBA All-Star
Giannis Antetokounmpo,1 NBA All-Star Most Valuable Player
Giannis Antetokounmpo,1 NBA Champion
Giannis Antetokounmpo,2 NBA Cup All-Tournament Team
Giannis Antetokounmpo,1 NBA Cup Most Valuable Player
Giannis Antetokounmpo,1 NBA Defensive Player of the Year
Giannis Antetokounmpo,1 NBA Finals Most Valuable Player
Giannis Antetokounmpo,1 NBA Most Improved Player
Giannis Antetokounmpo,2 NBA Most Valuable Player
Giannis Antetokounmpo,9 NBA Player of the Month
Giannis Antetokounmpo,20 NBA Player of the Week
Nikola Jokic,7 All-NBA
Nikola Jokic,1 All-Rookie Team
Nikola Jokic,8 NBA All-Star
Nikola Jokic,1 NBA Champion
Nikola Jokic,1 NBA Finals Most Valuable Player
Nikola Jokic,3 NBA Most Valuable Player
Nikola Jokic,9 NBA Player of the Month
Nikola Jokic,18 NBA Player of the Week
Nikola Jokic,1 Olympic Bronze Medal
Nikola Jokic,1 Olympic Silver Medal
Luka Doncic,5 All-NBA
Luka Doncic,1 All-Rookie Team
Luka Doncic,6 NBA All-Star
Luka Doncic,5 NBA Player of the Month
Luka Doncic,15 NBA Player of the Week
Luka Doncic,5 NBA Rookie of the Month
Luka Doncic,1 NBA Rookie of the Year
Shai Gilgeous-Alexander,3 All-NBA
Shai Gilgeous-Alexander,1 All-Rookie Team
Shai Gilgeous-Alexander,4 NBA All-Star
Shai Gilgeous-Alexander,1 NBA Champion
Shai Gilgeous-Alexander,1 NBA Cup All-Tournament Team
Shai Gilgeous-Alexander,1 NBA Finals Most Valuable Player
Shai Gilgeous-Alexander,1 NBA Most Valuable Player
Shai Gilgeous-Alexander,5 NBA Player of the Month
Shai Gilgeous-Alexander,8 NBA Player of the Week
Victor Wembanyama,1 All-Defensive Team
Victor Wembanyama,1 All-Rookie Team
Victor Wembanyama,2 NBA All-Star
Victor Wembanyama,1 NBA Defensive Player of the Month
Victor Wembanyama,2 NBA Player of the Week
Victor Wembanyama,3 NBA Rookie of the Month
Victor Wembanyama,1 NBA Rookie of the Year
Victor Wembanyama,1 Olympic Silver Medal
